WFID101, namethis, street, city, 2.0, 5.0, 0.0, WFID101, da vid, street, miss, 10.0, 40.0, 0.0, ,
WFID101, d vi, stree, mis, 1.0, 4.0, 0.0, ,
WFID101, d vi, stree, mis, 1.0, 4.0, 0.0, ,
WFID101, d vi, stree, mis, 1.0, 4.0, 0.0, ,
WFID101, null null, null, null, 0.0, 0.0, 0.0, ,
WFID101, null null, null, null, 0.0, 0.0, 0.0, ,
WFID101, null null, null, null, 0.0, 0.0, 0.0, ,
WFID101, null null, null, null, 0.0, 0.0, 0.0, ,
WFID101, null null, null, null, 0.0, 0.0, 0.0, ,
WFID101null nullnullnull0.00.00.0,
WFID101null nullnullnull0.00.00.0,
WFID101null nullnullnull0.00.00.0,
WFID101null nullnullnull0.00.00.0,
WFID101null nullnullnull0.00.00.0,
WFID101null nullnullnull0.00.00.0,
WFID101null nullnullnull0.00.00.0,
WFID101null nullnullnull0.00.00.0,
WFID101David Joycestreetcity0.00.00.0,
WFID101David Joycestreetcity5.010.00.0,
WFID101David Joycestreetcity5.010.00.0,
WFID101null nullnullnull0.00.00.0,
WFID101null nullnullnull0.00.00.0,
WFID101null nullnullnull0.00.00.0,
WFID101null nullnullnull0.00.00.0,
WFID101null nullnullnull0.00.00.0,
WFID101null nullnullnull0.00.00.0,
WFID101null nullnullnull0.00.00.0,
WFID101null nullnullnull0.00.00.0,
WFID101null nullnullnull0.00.00.0,
WFID101David JOycestreetcity0.00.00.0,
WFID101David JOycestreetcity10.010.00.0,
WFID101d avd1.02.00.0,
WFID101me youstreetcity50.010.00.0,
WFID101youare outofcontrollllluhuh20.040.00.0,
WFID101name laststreetcity50.040.00.0,
WFID101, well then, street, city, 33.0, 50.0, 0.0, ,
WFID101,D,G,Street,city,15.0,40.0,0.0,
